Index,Lesson Title,English text,Phonetic translation,Original language translation,Audio File Name,Audio URL
23,2 [two] Family Members,the grandfather,ājōbā,आजोबा,[sound:book2-MR-SOUND-0023.mp3],https://www.book2.nl/book2/MR/SOUND/0023.mp3
24,2 [two] Family Members,the grandmother,ājī,आजी,[sound:book2-MR-SOUND-0024.mp3],https://www.book2.nl/book2/MR/SOUND/0024.mp3
25,2 [two] Family Members,he and she,tō āṇi tī,तो आणि ती,[sound:book2-MR-SOUND-0025.mp3],https://www.book2.nl/book2/MR/SOUND/0025.mp3
26,2 [two] Family Members,the father,vaḍīla,वडील,[sound:book2-MR-SOUND-0026.mp3],https://www.book2.nl/book2/MR/SOUND/0026.mp3
27,2 [two] Family Members,the mother,ā'ī,आई,[sound:book2-MR-SOUND-0027.mp3],https://www.book2.nl/book2/MR/SOUND/0027.mp3
28,2 [two] Family Members,he and she,tō āṇi tī,तो आणि ती,[sound:book2-MR-SOUND-0028.mp3],https://www.book2.nl/book2/MR/SOUND/0028.mp3
29,2 [two] Family Members,the son,mulagā,मुलगा,[sound:book2-MR-SOUND-0029.mp3],https://www.book2.nl/book2/MR/SOUND/0029.mp3
30,2 [two] Family Members,the daughter,mulagī,मुलगी,[sound:book2-MR-SOUND-0030.mp3],https://www.book2.nl/book2/MR/SOUND/0030.mp3
31,2 [two] Family Members,he and she,tō āṇi tī,तो आणि ती,[sound:book2-MR-SOUND-0031.mp3],https://www.book2.nl/book2/MR/SOUND/0031.mp3
32,2 [two] Family Members,the brother,bhā'ū,भाऊ,[sound:book2-MR-SOUND-0032.mp3],https://www.book2.nl/book2/MR/SOUND/0032.mp3
33,2 [two] Family Members,the sister,bahīṇa,बहीण,[sound:book2-MR-SOUND-0033.mp3],https://www.book2.nl/book2/MR/SOUND/0033.mp3
34,2 [two] Family Members,he and she,tō āṇi tī,तो आणि ती,[sound:book2-MR-SOUND-0034.mp3],https://www.book2.nl/book2/MR/SOUND/0034.mp3
35,2 [two] Family Members,the uncle,kākā/ māmā,काका / मामा,[sound:book2-MR-SOUND-0035.mp3],https://www.book2.nl/book2/MR/SOUND/0035.mp3
36,2 [two] Family Members,the aunt,kākū/ māmī,काकू / मामी,[sound:book2-MR-SOUND-0036.mp3],https://www.book2.nl/book2/MR/SOUND/0036.mp3
37,2 [two] Family Members,he and she,tō āṇi tī,तो आणि ती,[sound:book2-MR-SOUND-0037.mp3],https://www.book2.nl/book2/MR/SOUND/0037.mp3
38,2 [two] Family Members,We are a family.,āmhī ēka kuṭumba āhōta.,आम्ही एक कुटुंब आहोत.,[sound:book2-MR-SOUND-0038.mp3],https://www.book2.nl/book2/MR/SOUND/0038.mp3
39,2 [two] Family Members,The family is not small.,Kuṭumba lahāna nāhī.,कुटुंब लहान नाही.,[sound:book2-MR-SOUND-0039.mp3],https://www.book2.nl/book2/MR/SOUND/0039.mp3
40,2 [two] Family Members,The family is big.,Kuṭumba mōṭhē āhē.,कुटुंब मोठे आहे.,[sound:book2-MR-SOUND-0040.mp3],https://www.book2.nl/book2/MR/SOUND/0040.mp3
41,3 [three] Getting to know others,3 [three],3 [Tīna],३ [तीन],[sound:book2-MR-SOUND-0041.mp3],https://www.book2.nl/book2/MR/SOUND/0041.mp3
42,3 [three] Getting to know others,Getting to know others,"[paricaya, ōḷakha]","परिचय, ओळख",[sound:book2-MR-SOUND-0042.mp3],https://www.book2.nl/book2/MR/SOUND/0042.mp3
43,3 [three] Getting to know others,Hi!,namaskāra!,नमस्कार!,[sound:book2-MR-SOUND-0043.mp3],https://www.book2.nl/book2/MR/SOUND/0043.mp3
44,3 [three] Getting to know others,Hello!,Namaskāra!,नमस्कार!,[sound:book2-MR-SOUND-0044.mp3],https://www.book2.nl/book2/MR/SOUND/0044.mp3
45,3 [three] Getting to know others,How are you?,Āpaṇa kasē āhāta?,आपण कसे आहात?,[sound:book2-MR-SOUND-0045.mp3],https://www.book2.nl/book2/MR/SOUND/0045.mp3
46,3 [three] Getting to know others,Do you come from Europe?,Āpaṇa yurōpahūna ālā/ ālyā āhāta kā?,आपण युरोपहून आला / आल्या आहात का?,[sound:book2-MR-SOUND-0046.mp3],https://www.book2.nl/book2/MR/SOUND/0046.mp3
47,3 [three] Getting to know others,Do you come from America?,Āpaṇa amērīkēhūna ālā/ ālyā āhāta kā?,आपण अमेरीकेहून आला / आल्या आहात का?,[sound:book2-MR-SOUND-0047.mp3],https://www.book2.nl/book2/MR/SOUND/0047.mp3
48,3 [three] Getting to know others,Do you come from Asia?,Āpaṇa āśiyāhūna ālā/ ālyā āhāta kā?,आपण आशियाहून आला / आल्या आहात का?,[sound:book2-MR-SOUND-0048.mp3],https://www.book2.nl/book2/MR/SOUND/0048.mp3
49,3 [three] Getting to know others,In which hotel are you staying?,Āpaṇa kōṇatyā hŏṭēlamadhyē rāhilā/ rāhilyā āhāta?,आपण कोणत्या हॉटेलमध्ये राहिला / राहिल्या आहात?,[sound:book2-MR-SOUND-0049.mp3],https://www.book2.nl/book2/MR/SOUND/0049.mp3
50,3 [three] Getting to know others,How long have you been here for?,Āpalyālā ithē yē'ūna kitī divasa jhālē?,आपल्याला इथे येऊन किती दिवस झाले?,[sound:book2-MR-SOUND-0050.mp3],https://www.book2.nl/book2/MR/SOUND/0050.mp3
51,3 [three] Getting to know others,How long will you be staying?,Āpaṇa ithē kitī divasa rāhaṇāra?,आपण इथे किती दिवस राहणार?,[sound:book2-MR-SOUND-0051.mp3],https://www.book2.nl/book2/MR/SOUND/0051.mp3
52,3 [three] Getting to know others,Do you like it here?,Āpalyālā ithē āvaḍalē kā?,आपल्याला इथे आवडले का?,[sound:book2-MR-SOUND-0052.mp3],https://www.book2.nl/book2/MR/SOUND/0052.mp3
53,3 [three] Getting to know others,Are you here on vacation?,Āpaṇa ithē suṭṭīsāṭhī ālā/ ālyā āhāta kā?,आपण इथे सुट्टीसाठी आला / आल्या आहात का?,[sound:book2-MR-SOUND-0053.mp3],https://www.book2.nl/book2/MR/SOUND/0053.mp3
54,3 [three] Getting to know others,Please do visit me sometime!,Kr̥payā āpaṇa kadhītarī yē'ūna malā bhēṭā!,कृपया आपण कधीतरी येऊन मला भेटा!,[sound:book2-MR-SOUND-0054.mp3],https://www.book2.nl/book2/MR/SOUND/0054.mp3
55,3 [three] Getting to know others,Here is my address.,Hā mājhā pattā āhē.,हा माझा पत्ता आहे.,[sound:book2-MR-SOUND-0055.mp3],https://www.book2.nl/book2/MR/SOUND/0055.mp3
56,3 [three] Getting to know others,Shall we see each other tomorrow?,Āpaṇa ēkamēkānnā udyā bhēṭū yā kā?,आपण एकमेकांना उद्या भेटू या का?,[sound:book2-MR-SOUND-0056.mp3],https://www.book2.nl/book2/MR/SOUND/0056.mp3
57,3 [three] Getting to know others,"I am sorry, but I already have plans.","Māpha karā, mī agōdaraca kāhī kāryakrama ṭharavilē āhēta.","माफ करा, मी अगोदरच काही कार्यक्रम ठरविले आहेत.",[sound:book2-MR-SOUND-0057.mp3],https://www.book2.nl/book2/MR/SOUND/0057.mp3
58,3 [three] Getting to know others,Bye!,Baraṁ āhē! Yētō ātā!,बरं आहे! येतो आता!,[sound:book2-MR-SOUND-0058.mp3],https://www.book2.nl/book2/MR/SOUND/0058.mp3
59,3 [three] Getting to know others,Good bye!,Namaskāra! Yētō ātā! Bhēṭuẏā punhā!,नमस्कार! येतो आता! भेटुय़ा पुन्हा!,[sound:book2-MR-SOUND-0059.mp3],https://www.book2.nl/book2/MR/SOUND/0059.mp3
60,3 [three] Getting to know others,See you soon!,Lavakaraca bhēṭū yā!,लवकरच भेटू या!,[sound:book2-MR-SOUND-0060.mp3],https://www.book2.nl/book2/MR/SOUND/0060.mp3
61,4 [four] At school,4 [four],4 [Cāra],४ [चार],[sound:book2-MR-SOUND-0061.mp3],https://www.book2.nl/book2/MR/SOUND/0061.mp3
62,4 [four] At school,At school,[śāḷēta],शाळेत,[sound:book2-MR-SOUND-0062.mp3],https://www.book2.nl/book2/MR/SOUND/0062.mp3
63,4 [four] At school,Where are we?,āpaṇa (āttā) kuṭhē āhōta?,आपण (आत्ता) कुठे आहोत?,[sound:book2-MR-SOUND-0063.mp3],https://www.book2.nl/book2/MR/SOUND/0063.mp3
64,4 [four] At school,We are at school.,Āpaṇa sarva/ āmhī sarva (āttā) śāḷēta āhōta.,आपण सर्व / आम्ही सर्व (आत्ता) शाळेत आहोत.,[sound:book2-MR-SOUND-0064.mp3],https://www.book2.nl/book2/MR/SOUND/0064.mp3
65,4 [four] At school,We are having class / a lesson.,Āmhālā śāḷā āhē.,आम्हाला शाळा आहे.,[sound:book2-MR-SOUND-0065.mp3],https://www.book2.nl/book2/MR/SOUND/0065.mp3
66,4 [four] At school,Those are the school children.,Tī śāḷētīla mulē āhēta.,ती शाळेतील मुले आहेत.,[sound:book2-MR-SOUND-0066.mp3],https://www.book2.nl/book2/MR/SOUND/0066.mp3
67,4 [four] At school,That is the teacher.,Tō śikṣaka/ tī śikṣikā āhē.,तो शिक्षक / ती शिक्षिका आहे.,[sound:book2-MR-SOUND-0067.mp3],https://www.book2.nl/book2/MR/SOUND/0067.mp3
68,4 [four] At school,That is the class.,Tō śāḷēcā varga āhē.,तो शाळेचा वर्ग आहे.,[sound:book2-MR-SOUND-0068.mp3],https://www.book2.nl/book2/MR/SOUND/0068.mp3
69,4 [four] At school,What are we doing?,Āmhī kāya karata āhōta?,आम्ही काय करत आहोत?,[sound:book2-MR-SOUND-0069.mp3],https://www.book2.nl/book2/MR/SOUND/0069.mp3
70,4 [four] At school,We are learning.,Āmhī śikata āhōta.,आम्ही शिकत आहोत.,[sound:book2-MR-SOUND-0070.mp3],https://www.book2.nl/book2/MR/SOUND/0070.mp3
71,4 [four] At school,We are learning a language.,Āmhī ēka bhāṣā śikata āhōta.,आम्ही एक भाषा शिकत आहोत.,[sound:book2-MR-SOUND-0071.mp3],https://www.book2.nl/book2/MR/SOUND/0071.mp3
72,4 [four] At school,I learn English.,Mī iṅgrajī śikata āhē.,मी इंग्रजी शिकत आहे.,[sound:book2-MR-SOUND-0072.mp3],https://www.book2.nl/book2/MR/SOUND/0072.mp3
73,4 [four] At school,You learn Spanish.,Tū spĕniśa śikata āhēsa.,तू स्पॅनिश शिकत आहेस.,[sound:book2-MR-SOUND-0073.mp3],https://www.book2.nl/book2/MR/SOUND/0073.mp3
74,4 [four] At school,He learns German.,Tō jarmana śikata āhē.,तो जर्मन शिकत आहे.,[sound:book2-MR-SOUND-0074.mp3],https://www.book2.nl/book2/MR/SOUND/0074.mp3
75,4 [four] At school,We learn French.,Āmhī phrēn̄ca śikata āhōta.,आम्ही फ्रेंच शिकत आहोत.,[sound:book2-MR-SOUND-0075.mp3],https://www.book2.nl/book2/MR/SOUND/0075.mp3
76,4 [four] At school,You all learn Italian.,Tumhī sarvajaṇa iṭāliyana śikata āhāta.,तुम्ही सर्वजण इटालियन शिकत आहात.,[sound:book2-MR-SOUND-0076.mp3],https://www.book2.nl/book2/MR/SOUND/0076.mp3
77,4 [four] At school,They learn Russian.,Tē raśiyana śikata āhēta.,ते रशियन शिकत आहेत.,[sound:book2-MR-SOUND-0077.mp3],https://www.book2.nl/book2/MR/SOUND/0077.mp3
78,4 [four] At school,Learning languages is interesting.,Bhāṣā śikaṇē manōran̄jaka āhē.,भाषा शिकणे मनोरंजक आहे.,[sound:book2-MR-SOUND-0078.mp3],https://www.book2.nl/book2/MR/SOUND/0078.mp3
79,4 [four] At school,We want to understand people.,Āmhālā lōkajīvana samajūna ghyāyacē āhē.,आम्हाला लोकजीवन समजून घ्यायचे आहे.,[sound:book2-MR-SOUND-0079.mp3],https://www.book2.nl/book2/MR/SOUND/0079.mp3
80,4 [four] At school,We want to speak with people.,Āmhālā lōkānśī bōlāyacē āhē.,आम्हाला लोकांशी बोलायचे आहे.,[sound:book2-MR-SOUND-0080.mp3],https://www.book2.nl/book2/MR/SOUND/0080.mp3
81,5 [five] Countries and Languages,5 [five],5 [Pāca],५ [पाच],[sound:book2-MR-SOUND-0081.mp3],https://www.book2.nl/book2/MR/SOUND/0081.mp3
82,5 [five] Countries and Languages,Countries and Languages,[dēśa āṇi bhāṣā],देश आणि भाषा,[sound:book2-MR-SOUND-0082.mp3],https://www.book2.nl/book2/MR/SOUND/0082.mp3
83,5 [five] Countries and Languages,John is from London.,jŏna laṇḍanahūna ālā āhē.,जॉन लंडनहून आला आहे.,[sound:book2-MR-SOUND-0083.mp3],https://www.book2.nl/book2/MR/SOUND/0083.mp3
84,5 [five] Countries and Languages,London is in Great Britain.,Laṇḍana grēṭa briṭanamadhyē āhē.,लंडन ग्रेट ब्रिटनमध्ये आहे.,[sound:book2-MR-SOUND-0084.mp3],https://www.book2.nl/book2/MR/SOUND/0084.mp3
85,5 [five] Countries and Languages,He speaks English.,Tō iṅgrajī bōlatō.,तो इंग्रजी बोलतो.,[sound:book2-MR-SOUND-0085.mp3],https://www.book2.nl/book2/MR/SOUND/0085.mp3
86,5 [five] Countries and Languages,Maria is from Madrid.,Māriyā mādridahūna ālī āhē.,मारिया माद्रिदहून आली आहे.,[sound:book2-MR-SOUND-0086.mp3],https://www.book2.nl/book2/MR/SOUND/0086.mp3
87,5 [five] Countries and Languages,Madrid is in Spain.,Mādrida spēnamadhyē āhē.,माद्रिद स्पेनमध्ये आहे.,[sound:book2-MR-SOUND-0087.mp3],https://www.book2.nl/book2/MR/SOUND/0087.mp3
88,5 [five] Countries and Languages,She speaks Spanish.,Tī spĕnīśa bōlatē.,ती स्पॅनीश बोलते.,[sound:book2-MR-SOUND-0088.mp3],https://www.book2.nl/book2/MR/SOUND/0088.mp3
89,5 [five] Countries and Languages,Peter and Martha are from Berlin.,Pīṭara āṇi mārthā barlinahūna ālē āhēta.,पीटर आणि मार्था बर्लिनहून आले आहेत.,[sound:book2-MR-SOUND-0089.mp3],https://www.book2.nl/book2/MR/SOUND/0089.mp3
90,5 [five] Countries and Languages,Berlin is in Germany.,Barlina jarmanīmadhyē āhē.,बर्लिन जर्मनीमध्ये आहे.,[sound:book2-MR-SOUND-0090.mp3],https://www.book2.nl/book2/MR/SOUND/0090.mp3
91,5 [five] Countries and Languages,Do both of you speak German?,Tumhī dōghēhī jarmana bōlatā kā?,तुम्ही दोघेही जर्मन बोलता का?,[sound:book2-MR-SOUND-0091.mp3],https://www.book2.nl/book2/MR/SOUND/0091.mp3
92,5 [five] Countries and Languages,London is a capital city.,Laṇḍana rājadhānīcē śahara āhē.,लंडन राजधानीचे शहर आहे.,[sound:book2-MR-SOUND-0092.mp3],https://www.book2.nl/book2/MR/SOUND/0092.mp3
93,5 [five] Countries and Languages,Madrid and Berlin are also capital cities.,Mādrida āṇi barlinasud'dhā rājadhānīcī śaharē āhēta.,माद्रिद आणि बर्लिनसुद्धा राजधानीची शहरे आहेत.,[sound:book2-MR-SOUND-0093.mp3],https://www.book2.nl/book2/MR/SOUND/0093.mp3
94,5 [five] Countries and Languages,Capital cities are big and noisy.,Rājadhānīcī śaharē mōṭhī āṇi gōṅgāṭācī asatāta.,राजधानीची शहरे मोठी आणि गोंगाटाची असतात.,[sound:book2-MR-SOUND-0094.mp3],https://www.book2.nl/book2/MR/SOUND/0094.mp3
95,5 [five] Countries and Languages,France is in Europe.,Phrānsa yurōpāta āhē.,फ्रांस युरोपात आहे.,[sound:book2-MR-SOUND-0095.mp3],https://www.book2.nl/book2/MR/SOUND/0095.mp3
96,5 [five] Countries and Languages,Egypt is in Africa.,Ijipta āphrikēta āhē.,इजिप्त आफ्रिकेत आहे.,[sound:book2-MR-SOUND-0096.mp3],https://www.book2.nl/book2/MR/SOUND/0096.mp3
97,5 [five] Countries and Languages,Japan is in Asia.,Japāna āśiyāta āhē.,जपान आशियात आहे.,[sound:book2-MR-SOUND-0097.mp3],https://www.book2.nl/book2/MR/SOUND/0097.mp3
98,5 [five] Countries and Languages,Canada is in North America.,Kĕnaḍā uttara amērīkēta āhē.,कॅनडा उत्तर अमेरीकेत आहे.,[sound:book2-MR-SOUND-0098.mp3],https://www.book2.nl/book2/MR/SOUND/0098.mp3
99,5 [five] Countries and Languages,Panama is in Central America.,Panāmā madhya amērīkēta āhē.,पनामा मध्य अमेरीकेत आहे.,[sound:book2-MR-SOUND-0099.mp3],https://www.book2.nl/book2/MR/SOUND/0099.mp3
100,5 [five] Countries and Languages,Brazil is in South America.,Brājhīla dakṣiṇa amērīkēta āhē.,ब्राझील दक्षिण अमेरीकेत आहे.,[sound:book2-MR-SOUND-0100.mp3],https://www.book2.nl/book2/MR/SOUND/0100.mp3
101,6 [six] Reading and writing,6 [six],6 [Sahā],६ [सहा],[sound:book2-MR-SOUND-0101.mp3],https://www.book2.nl/book2/MR/SOUND/0101.mp3
102,6 [six] Reading and writing,Reading and writing,[vācaṇē āṇi lihiṇē],वाचणे आणि लिहिणे,[sound:book2-MR-SOUND-0102.mp3],https://www.book2.nl/book2/MR/SOUND/0102.mp3
103,6 [six] Reading and writing,I read.,mī vācata āhē.,मी वाचत आहे.,[sound:book2-MR-SOUND-0103.mp3],https://www.book2.nl/book2/MR/SOUND/0103.mp3
104,6 [six] Reading and writing,I read a letter (character).,Mī ēka muḷākṣara vācata āhē.,मी एक मुळाक्षर वाचत आहे.,[sound:book2-MR-SOUND-0104.mp3],https://www.book2.nl/book2/MR/SOUND/0104.mp3
105,6 [six] Reading and writing,I read a word.,Mī ēka śabda vācata āhē.,मी एक शब्द वाचत आहे.,[sound:book2-MR-SOUND-0105.mp3],https://www.book2.nl/book2/MR/SOUND/0105.mp3
106,6 [six] Reading and writing,I read a sentence.,Mī ēka vākya vācata āhē.,मी एक वाक्य वाचत आहे.,[sound:book2-MR-SOUND-0106.mp3],https://www.book2.nl/book2/MR/SOUND/0106.mp3
107,6 [six] Reading and writing,I read a letter.,Mī ēka patra vācata āhē.,मी एक पत्र वाचत आहे.,[sound:book2-MR-SOUND-0107.mp3],https://www.book2.nl/book2/MR/SOUND/0107.mp3
108,6 [six] Reading and writing,I read a book.,Mī ēka pustaka vācata āhē.,मी एक पुस्तक वाचत आहे.,[sound:book2-MR-SOUND-0108.mp3],https://www.book2.nl/book2/MR/SOUND/0108.mp3
109,6 [six] Reading and writing,I read.,Mī vācata āhē.,मी वाचत आहे.,[sound:book2-MR-SOUND-0109.mp3],https://www.book2.nl/book2/MR/SOUND/0109.mp3
110,6 [six] Reading and writing,You read.,Tū vācata āhēsa.,तू वाचत आहेस.,[sound:book2-MR-SOUND-0110.mp3],https://www.book2.nl/book2/MR/SOUND/0110.mp3
111,6 [six] Reading and writing,He reads.,Tō vācata āhē.,तो वाचत आहे.,[sound:book2-MR-SOUND-0111.mp3],https://www.book2.nl/book2/MR/SOUND/0111.mp3
112,6 [six] Reading and writing,I write.,Mī lihita āhē.,मी लिहित आहे.,[sound:book2-MR-SOUND-0112.mp3],https://www.book2.nl/book2/MR/SOUND/0112.mp3
113,6 [six] Reading and writing,I write a letter (character).,Mī ēka muḷākṣara lihita āhē.,मी एक मुळाक्षर लिहित आहे.,[sound:book2-MR-SOUND-0113.mp3],https://www.book2.nl/book2/MR/SOUND/0113.mp3
114,6 [six] Reading and writing,I write a word.,Mī ēka śabda lihita āhē.,मी एक शब्द लिहित आहे.,[sound:book2-MR-SOUND-0114.mp3],https://www.book2.nl/book2/MR/SOUND/0114.mp3
115,6 [six] Reading and writing,I write a sentence.,Mī ēka vākya lihita āhē.,मी एक वाक्य लिहित आहे.,[sound:book2-MR-SOUND-0115.mp3],https://www.book2.nl/book2/MR/SOUND/0115.mp3
116,6 [six] Reading and writing,I write a letter.,Mī ēka patra lihita āhē.,मी एक पत्र लिहित आहे.,[sound:book2-MR-SOUND-0116.mp3],https://www.book2.nl/book2/MR/SOUND/0116.mp3
117,6 [six] Reading and writing,I write a book.,Mī ēka pustaka lihita āhē.,मी एक पुस्तक लिहित आहे.,[sound:book2-MR-SOUND-0117.mp3],https://www.book2.nl/book2/MR/SOUND/0117.mp3
118,6 [six] Reading and writing,I write.,Mī lihita āhē.,मी लिहित आहे.,[sound:book2-MR-SOUND-0118.mp3],https://www.book2.nl/book2/MR/SOUND/0118.mp3
119,6 [six] Reading and writing,You write.,Tū lihita āhēsa.,तू लिहित आहेस.,[sound:book2-MR-SOUND-0119.mp3],https://www.book2.nl/book2/MR/SOUND/0119.mp3
120,6 [six] Reading and writing,He writes.,Tō lihita āhē.,तो लिहित आहे.,[sound:book2-MR-SOUND-0120.mp3],https://www.book2.nl/book2/MR/SOUND/0120.mp3
121,7 [seven] Numbers,7 [seven],7 [Sāta],७ [सात],[sound:book2-MR-SOUND-0121.mp3],https://www.book2.nl/book2/MR/SOUND/0121.mp3
122,7 [seven] Numbers,Numbers,[saṅkhyā/ ākaḍē],संख्या / आकडे,[sound:book2-MR-SOUND-0122.mp3],https://www.book2.nl/book2/MR/SOUND/0122.mp3
123,7 [seven] Numbers,I count:,mī mōjata āhē.,मी मोजत आहे.,[sound:book2-MR-SOUND-0123.mp3],https://www.book2.nl/book2/MR/SOUND/0123.mp3
124,7 [seven] Numbers,"one, two, three","Ēka, dōna, tīna","एक, दोन, तीन",[sound:book2-MR-SOUND-0124.mp3],https://www.book2.nl/book2/MR/SOUND/0124.mp3
125,7 [seven] Numbers,I count to three.,mī tīnaparyanta mōjata āhē.,मी तीनपर्यंत मोजत आहे.,[sound:book2-MR-SOUND-0125.mp3],https://www.book2.nl/book2/MR/SOUND/0125.mp3
126,7 [seven] Numbers,I count further:,Mī puḍhē mōjata āhē.,मी पुढे मोजत आहे.,[sound:book2-MR-SOUND-0126.mp3],https://www.book2.nl/book2/MR/SOUND/0126.mp3
127,7 [seven] Numbers,"four, five, six,","Cāra, pāca, sahā,","चार, पाच, सहा,",[sound:book2-MR-SOUND-0127.mp3],https://www.book2.nl/book2/MR/SOUND/0127.mp3
128,7 [seven] Numbers,"seven, eight, nine","sāta, āṭha, na'ū","सात, आठ, नऊ",[sound:book2-MR-SOUND-0128.mp3],https://www.book2.nl/book2/MR/SOUND/0128.mp3
129,7 [seven] Numbers,I count.,mī mōjata āhē.,मी मोजत आहे.,[sound:book2-MR-SOUND-0129.mp3],https://www.book2.nl/book2/MR/SOUND/0129.mp3
130,7 [seven] Numbers,You count.,Tū mōjata āhēsa.,तू मोजत आहेस.,[sound:book2-MR-SOUND-0130.mp3],https://www.book2.nl/book2/MR/SOUND/0130.mp3
131,7 [seven] Numbers,He counts.,Tō mōjata āhē.,तो मोजत आहे.,[sound:book2-MR-SOUND-0131.mp3],https://www.book2.nl/book2/MR/SOUND/0131.mp3
132,7 [seven] Numbers,One. The first.,"Ēka, pahilā/ pahilī/ pahilē","एक, पहिला / पहिली / पहिले",[sound:book2-MR-SOUND-0132.mp3],https://www.book2.nl/book2/MR/SOUND/0132.mp3
133,7 [seven] Numbers,Two. The second.,"dōna, dusarā/ dusarī/ dusarē","दोन, दुसरा / दुसरी / दुसरे",[sound:book2-MR-SOUND-0133.mp3],https://www.book2.nl/book2/MR/SOUND/0133.mp3
134,7 [seven] Numbers,Three. The third.,tīna. Tisarā/ tisarī/ tisarē,तीन. तिसरा / तिसरी / तिसरे,[sound:book2-MR-SOUND-0134.mp3],https://www.book2.nl/book2/MR/SOUND/0134.mp3
135,7 [seven] Numbers,Four. The fourth.,cāra. Cauthā/ cauthī/ cauthē,चार. चौथा / चौथी / चौथे,[sound:book2-MR-SOUND-0135.mp3],https://www.book2.nl/book2/MR/SOUND/0135.mp3
136,7 [seven] Numbers,Five. The fifth.,pāca. Pācavā/ pācavī/ pācavē,पाच. पाचवा / पाचवी / पाचवे,[sound:book2-MR-SOUND-0136.mp3],https://www.book2.nl/book2/MR/SOUND/0136.mp3
137,7 [seven] Numbers,Six. The sixth.,"sahā, sahāvā/ sahāvī/ sahāvē","सहा, सहावा / सहावी / सहावे",[sound:book2-MR-SOUND-0137.mp3],https://www.book2.nl/book2/MR/SOUND/0137.mp3
